key,0,1,2,3,4,5,6,7,8,9,10
7,7,0,0,69478,0,72607,72507,3,"韋利博爾·亞澤緹娜","Velibor Azetina","24歲。硌獅族。出生於博茲雅管區澤緹納莊。<hex:02100103>博茲雅義軍的一員。新生女王之刃中的一人。<hex:02100103><hex:02100103>網羅拳術、劍術、柔術、槍術等諸般武術傳承的「翠青門」的直系騎士。布拉茲的從堂兄弟。<hex:02100103><hex:02100103>翠青門有著二百多年的歷史，是個以武藝著稱的名門大派。在加雷馬帝國入侵時，為了保護小國博茲雅，眾多門徒參戰犧牲。當時的第四軍團軍團長巴修·範·伽布拉斯是個惜才之人，他和翠青門約定，只要肯向帝國效忠就可以得到帝國的庇護。門主為表忠誠，獻出了自己的首級，使一族避免了滅門之災。<hex:02100103>代理家主是韋利博爾的祖母，她一直嚴格遵守著和伽布拉斯的約定。博茲雅被帝國佔領後時有起義發生，也有部分門徒加入其中，而她為了不危及一族將他們逐出了族門。祖母將死之時，給新的家主——韋利博爾的父親留下了最後的話語：「我自始至終都遵守著和伽布拉斯的約定。這是你父親的願望，也是他對我們的保護和深沉的愛。但是，你要坦誠地活下去，時代也該改變了……」<hex:02100103><hex:02100103>韋利博爾和回到翠青門的布拉茲一見如故，兩人初見之時的情景他到現在依然記得。韋利博爾覺得他們二人不僅是志同道合的同門弟子，更是擁有相同靈魂的親兄弟。雖然相處短暫，但他們通過切磋鑽研掌握了新的戰鬥技巧。在博茲雅再度起義時，翠青門正式加入了抵抗組織。韋利博爾也將會一直揮舞手中的大劍，直至達成自己的使命。<hex:02100103>"
8,8,0,0,69478,0,72608,72508,1,"阿姬·格洛弗","Aggie Glover","17歲。人族。出生於博茲雅管區瑪特爾維。<hex:02100103>博茲雅義軍的一員。新生女王之刃中的一人。<hex:02100103><hex:02100103>網羅拳術、劍術、柔術、槍術等諸般武術傳承的「翠青門」的拳術師。<hex:02100103><hex:02100103>阿姬既不知父母是誰，也不知自己的本名。在某個寒冷的冬日，一個帝國福利局職員救起了險些凍死的她，並為她起了「阿姬」這個名字。<hex:02100103>博茲雅的港口城市瑪特爾維是一個有著20萬人口的古都，由於許多勞動者從各地前來謀生，也是人員複雜的城市。在這裡，流浪者和孤兒隨處可見。有些孤兒是由於戰爭、疾病失去了親人，還有一些則是父母因涉嫌某些事件而被當局抓了起來。無論是何原因，很多孤兒只能選擇在下水道等地下設施裡相依為命。阿姬也是這些「下水道兒童」之一。<hex:02100103>她是在5歲時被救助的，此前的記錄一片空白，她對父母也毫無印象。據說她當時連話都不會說。<hex:02100103>福利局將她送到了武藝名門翠青門。在那裡，阿姬很快就學會了讀書寫字，而且在和同門弟子訓練的過程中，她的實力也在以驚人的速度成長著。在被救助的時候，阿姬的雙眼就像死人一樣暗淡無光、毫無生氣，宛如一具行屍走肉。但如今，她那陽光開朗的性格已經足以帶動全族的氣氛了。<hex:02100103>在同門弟子中，阿姬尤其和布拉茲、韋利博爾這兩人意氣相投，為了不輸給他們，她每日都在努力鍛鍊拳術。不知是因為才氣過人還是努力得到了回報，她在16歲時拳術就已經登峰造極。<hex:02100103>抵抗組織中的氣氛時常會變得消沉苦悶，但阿姬總能讓這些陰雲消散。她成為了大家的偶像。阿姬被選為新生女王之刃的一員時，布拉茲和韋利博爾都由衷地為她感到高興，可阿姬感覺白沙恩只是出於政治顧慮才這樣做的。但是，她從不會把消極的心情表露出來。直至今日，她也總是慰問受傷的士兵們，希望能用自己開朗的笑容讓大家早日恢復精神。<hex:02100103>她最喜歡吃的是軟果糕，那是一種與棉花糖口感相似的甜點。阿姬唯一的兒時記憶，就是在下水道生活時吃過的軟果糕的味道。<hex:02100103>"
9,10,0,0,69478,0,72610,72510,3,"艾爾內斯·皮爾·隆古斯","Hernais pyr Longus","24歲。人族。出生於蘭蒂斯州蒙法爾科內。<hex:02100103>加雷馬帝國第四軍團「魔獸大隊」的傳令官。<hex:02100103><hex:02100103>因憧憬獸王萊昂而加入魔獸大隊的年輕人。萊昂經常根據戰況實時改變自己的作戰方案，而且他提出的戰術都可謂天馬行空，在士官學校的教材上根本就找不到。因此，中央的軍官們都將萊昂視為上不了檯面的跳樑小丑。比起人類，萊昂更疼愛魔獸，而且他的言行舉止十分粗暴，比起軍官反而更像是「蠻族將領」。<hex:02100103>在剛剛進入第四軍團時，艾爾內斯對萊昂也有這樣的印象。但在4年前鎮壓達爾馬斯卡管區的叛亂時，他的想法被徹底改變了。萊昂的確說話難聽，但卻記得每一個部下的名字，也能明確地指出他們的缺點。在戰場上，他常常不顧自身安危，身先士卒與敵軍對峙。正如萊昂的口頭禪「弱小的傢伙才會死掉」一般，死在戰場上的都是些實力不足的膽小鬼。他疼愛魔獸勝過人類，也是因為魔獸作為擋在士兵身前的盾牌，死亡率居高不下，所以他對待離死亡最近的魔獸們就像對待深愛的戀人一樣呵護有加。意識到這些之後，艾爾內斯便把萊昂敬為老師，加入了魔獸大隊。<hex:02100103><hex:02100103>以下內容摘自蒙法爾科內地方雜誌«探索與發現»中有關艾爾內斯的專題報道。<hex:02100103>記者：你似乎被第四軍團的同伴們稱為「忠犬」呢，你認為這是一種諷刺嗎？<hex:02100103>艾爾內斯：我認為他們是出於羨慕才這麼叫的。<hex:02100103>記者：為什麼會這麼想呢？<hex:02100103>艾爾內斯：因為大部分人都只會陽奉陰違，裝作一副服從上級命令的樣子，其實內心多少有些不服。<hex:02100103>記者：作為軍人，服從命令是天職，但大家都是人，也會有不服的時候呢。<hex:02100103>艾爾內斯：但我和他們不一樣。我從心底崇拜萊昂大人，已經做好將一切奉獻給他的準備了。別人想說就讓他們說吧……對我而言，忠犬這個稱呼就像我的勳章，別人這麼叫我是我的榮幸……我感到非常自豪！<hex:02100103><hex:02100103>記者：萊昂閣下，您對隆古斯傳令官的這番話怎麼看？<hex:02100103>萊昂：哎呀，我本來都不記得這號人了，要不是這番話我還想不起來呢。是那個像小狗一樣的年輕人吧。我很喜歡那種精神頭不錯的傢伙哦……那種人通常會死得很早呢。<hex:02100103>記者：……<hex:02100103>"
10,13,0,0,69478,0,72611,72511,2,"克拉莉西·庫奧·普利斯克斯","Clarricie quo Priscus","33歲。精靈族。<hex:02100103>加雷馬帝國第四軍團「魔獸大隊」的百夫長。<hex:02100103><hex:02100103>克拉莉西總是言行傲慢、故弄玄虛，但這只是表象，也就是她的偽裝人格。<hex:02100103>她加入第四軍團約有10年，是獸王萊昂認可的魔獸馴獸師之一。可以隨意操控魔獸的她被大家稱為「魔女」。據說，她可以發出仿佛不屬於這個世界的奇異聲音，並使用非人類的語言控制魔獸。但有人說那只是討厭她的人惡意編造出的謊言。克拉莉西並非魔女，而是「聖女」才對。她為了保護受傷的士兵和魔獸挺身而出，與敵軍戰鬥的身姿就宛如女戰神格拉迪亞一般。此言不虛，她在戰場上已經立下了無數的戰功。<hex:02100103>關於她的兩種傳言可能都是真的。她為了同伴捨身戰鬥的身姿就如同聖女，但操縱魔獸無情獵殺敵人的她毫無疑問也是魔女。無論如何，直視她雙眼的人不是被她的性感妖豔所魅惑，就是因恐懼而瑟瑟發抖……<hex:02100103><hex:02100103>鮮少有人了解她的過去。<hex:02100103>克拉莉西是艾什瓦民族的人，那是一個在國境附近過著流浪生活的種族。帝國為艾什瓦民族提供了定居政策，卻被拒絕了。於是軍團長伽布拉斯便提出了一個折中方案，只要讓一些壯丁應召入伍，剩下的人就可以一如既往地過著流浪生活。艾什瓦民族答應了這個條件，為帝國軍提供了數名年輕男性。克拉莉西的丈夫也是其中之一。她的丈夫被分配到獸王萊昂麾下的魔獸大隊，但初上戰場便不幸殞命，而幾個月前他們才剛剛結婚。萊昂替伽布拉斯前去慰問家屬，為他的死亡哀悼並致歉。成為了寡婦的克拉莉西表示自己將會替夫從軍，但希望帝國不要再繼續奪走族裡的男人，萊昂答應了她的請求。從那以後，她就戴上了魔女和聖女的面具，為了悼念亡夫和一族的和平，一直戰鬥到了今日……<hex:02100103>"
11,14,0,0,69478,0,72612,72512,5,"薩托瓦爾·庫奧·索拉努斯","Sartauvoir quo Soranus","61歲。精靈族。出生於舊蘭蒂斯共和國曼托瓦。<hex:02100103>加雷馬帝國第四軍團「術師大隊」的上級百夫長。<hex:02100103><hex:02100103>在成功佔領博茲雅之後，第四軍團遵從開國皇帝索魯斯的命令，準備進攻下一個目標——舊達爾馬斯卡王國。當時的軍團長巴修·範·伽布拉斯認為，達爾馬斯卡的魔術師大隊是個相當大的威脅。雖然不是為了以毒攻毒，但伽布拉斯也計劃在第四軍團內組建一個魔術師大隊。他首先想到的就是曼托瓦的魔術騎士團，那是舊蘭蒂斯共和國中唯一一個將魔法作為武器的騎士團。帝國通常將臣服的各國騎士團解散，重新編入帝國的軍隊中，當時的舊蘭蒂斯共和國也沒有例外。但是，將魔法視作威脅的帝國對魔術騎士團的舉措卻是極力的打壓。因此，騎士團中的魔術師們都奔往各地逃命。伽布拉斯要找的就是這些四散而逃的曼托瓦魔術師們。<hex:02100103><hex:02100103>薩托瓦爾正是其中一人。他在曼托瓦附近的一個小村莊開設了一間學問所，過著隱姓埋名的生活，但最終還是被第四軍團找到了。薩托瓦爾拒絕了邀請，但他對有著不同於帝國傳統思想的伽布拉斯很感興趣。第四軍團耐心勸說了許久，可薩托瓦爾一直沒有答應。某一天，一位陌生的武人來到了學問所。雖然他年過半百、既沒武器也沒護衛，但薩托瓦爾馬上意識到即使自己用盡渾身解數也無法戰勝此人……這位武人正是巴修·範·伽布拉斯。薩托瓦爾得到了和伽布拉斯直接交談的機會，一番談話後，他對伽布拉斯的價值觀和思維方式大為動容，並向他發誓效忠。<hex:02100103><hex:02100103>三十多年後，妖術師阿爾貝雷歐的加入將第四軍團的魔法水平帶到了一個新的高度，但曼托瓦的魔術師們為術師大隊打下了堅實的基礎。薩托瓦爾在以此為傲的同時，也不忘謙虛地向阿爾貝雷歐學習魔法。他希望能和現任軍團長諾亞·範·伽布拉斯一起實現過世的巴修的遺願。<hex:02100103>"
12,15,0,0,69478,0,72613,72513,3,"西西尼烏斯·瑪爾·維琉圖斯","Sicinius mal Vellutus","42歲。加雷馬族。出生於加雷馬帝國首都。<hex:02100103>加雷馬帝國第四軍團「機械化步兵大隊」的技術士官。<hex:02100103><hex:02100103>師從加雷馬帝國超越技術研究所魔導技師長奧盧斯·瑪爾·亞希納，在其手下擔任研究員。隨著阿拉米格被攻陷，超越技術研究所也被拆除，研究數據都被送到了加雷馬帝國首都。西西尼烏斯也收到了返回帝國的命令，但由於他的研究對象原本是古代亞拉戈帝國留下的遺物和失傳的技術，他便申請調到第四軍團。因為他對第四軍團早前一直在收集人稱「聖遺物」的古代秘寶一事早有耳聞，而且在收到返回命令的同時，他也收到了來自第四軍團的邀請。軍團長伽布拉斯和負責搜尋聖遺物的梅內紐斯都十分認可他的才能，西西尼烏斯也被伽布拉斯的思想所打動，發誓從此向他效忠。就這樣，西西尼烏斯成為了第四軍團的魔導技師長。<hex:02100103><hex:02100103>現在他正以復活從黎鐸拉納大燈塔中回收的古代兵器和裝置為目的進行研究。在完成「勞動」系列兵器的原理解析後，他便著手準備將它們作為新的魔導兵器投入實戰。在新兵器登上戰場之際，西西尼烏斯還為了收集數據奔赴南方博茲雅戰線。他並非只知在研究室埋頭苦幹的學者，親力親為地收集數據這一點可謂有其師必有其徒。<hex:02100103>"
13,9,0,3,69478,0,72609,72509,2,"羅菲·皮爾·珀提圖斯","Llofii pyr Potitus","19歲。貓魅族。出生於達爾馬斯卡管區瓦爾奈。<hex:02100103>加雷馬帝國第四軍團「術師大隊」的選拔兵。<hex:02100103><hex:02100103>羅菲是個逃兵。臨陣脫逃是嚴重違反軍規的行為，除非有特別的理由，否則將會被處以死刑。羅菲是為了實驗動物「獨角獸」才從軍中叛逃的。對術師大隊來說，一角獸是非常珍貴的實驗動物，光是擅自藏匿就已經違反軍規了，若是再加上臨陣脫逃，那絕對是會被當場斬殺的重大罪行。羅菲明知如此，卻還是逃出了大隊……這究竟是為什麼呢？<hex:02100103>帝國軍對於在實戰中投入「魔法」的態度十分消極。因為術式是從艾歐澤亞和其他國家傳入帝國的，加雷馬族人自不必說，就連許多帝國市民和行省市民都不習慣使用魔法，所以必須對那些術式進行調整。而在基礎研究到改良的過程中，就要先以動物、魔獸、妖異為實驗對象反覆摸索。<hex:02100103>羅菲是一個頗有才能的新人召喚術師。她有充足的乙太來使用魔法，構築的術式也精準無比，在同級生中出類拔萃。通過跳級提前從魔法學校畢業後，羅菲加入了第四軍團，並在一番嚴酷的訓練之後被分配到了阿爾貝雷歐麾下的術師大隊。她的任務是調整及改良新的魔法。而羅菲在博茲雅認清了殘酷的現實，她發現作為改良魔法實驗體的大量野生動物、魔獸，還有妖異正遭受著極其殘忍的對待。<hex:02100103>一隻名為獨角獸的魔獸被指定為羅菲研究魔法的實驗對象。獨角獸是一種會使用「淨化之光」消除不死系生物的稀有魔獸。這種魔獸十分稀少珍貴，但它們也因此而遭到了抓捕，成為了實驗對象。在進行了無數次慘無人道的實驗後，羅菲終於得到了在實驗中處理掉獨角獸的許可。羅菲認識到了自己創造的魔法是何等的罪孽深重，在無盡的悔恨和失望中，她下定了決心。她要帶著這隻魔獸離開帝國。<hex:02100103>"
14,11,0,4,69478,0,72614,72514,5,"達波格·安·因尼維失","Dabog aan Inivisch","推測為34歲。硌獅族。出生於博茲雅管區博茲雅堡壘。<hex:02100103>加雷馬帝國第四軍團「機械化步兵大隊」的特殊兵。<hex:02100103><hex:02100103>高火力陸戰魔導兵器「維吉爾」和新型飛行魔導裝甲「加百列」的操縱者。也是為了操作魔導兵器經過調優的強化兵。<hex:02100103>帝國開發的大量魔導兵器都保存在達爾馬斯卡管區的瓦爾奈。在魔導技師長西西尼烏斯的指揮下，這些魔導兵器經過改造擁有了更高性能並被投入了實戰。其中，維吉爾和加百列需要操縱者用身體和精神同時進行操控，因此可以做出更為迅速和精細的動作。但是這種操作只有超級調整兵，也就是通過強化提高精神感應力、能與機械進行精神同步的特殊操縱者才能做到。<hex:02100103>根據西西尼烏斯所說，雖然目前理論已經成立，但這些尚屬於實驗階段，直接強化普通人類的話可能會出現一些預料之外的問題和危險。因此，為了應對即將到來的與達爾馬斯卡義軍的全面衝突，他準備先在博茲雅進行實驗……於是，達波格便被選為了實驗對象。<hex:02100103><hex:02100103>達波格並不是志願兵，而是與第四軍團戰鬥的抵抗組織的一員。<hex:02100103>15年前，在博茲雅堡壘蒸發事件中失去了父母和兄弟的達波格立刻加入了抵抗組織。他一心為父母和兄弟報仇，卻在2年前因為作戰失敗淪為帝國的俘虜。在他第二次逃跑的時候，不慎從城牆上跌落，摔斷了頸椎。所有人都認為他最多只能再活一週。<hex:02100103>第四軍團禁止進行人體實驗，只有在保證實驗具有安全性和實用性的前提下才可以進行。但在此時，一場以救助達波格為名的人體實驗卻悄然開始了。伽布拉斯要求給予第四軍團捕獲的俘虜「最低限度的人道主義關懷」，可西西尼烏斯等人卻將這一規定用在了邪惡的計劃上。<hex:02100103>就這樣，被改造為強化兵的達波格作為新型魔導兵器的操縱者再次回到了戰場。西西尼烏斯等人再次無恥地實施「最低限度的人道主義關懷」，以「不希望他因為殘殺過去的同伴而痛心」為由，消除了達波格的記憶……<hex:02100103>"
15,12,0,0,69478,0,72615,72515,4,"尤恩布·皮爾·珀提圖斯","Dyunbu pyr Potitus","24歲。貓魅族。出生於達爾馬斯卡管區拉韋納。<hex:02100103>加雷馬帝國第四軍團「術師大隊」的選拔兵。<hex:02100103><hex:02100103>尤恩布是一個和下屬士兵一同活躍在戰場之上的年輕治癒術師。<hex:02100103>大多數士兵已經知道瓦厲斯在加雷馬帝國遇刺，以及因其後繼無人導致帝國發生內亂的事。他們認為本國的指揮系統已然崩潰，曾經所向披靡的強大帝國也正在走向滅亡……但尤恩布不一樣，她對軍團長伽布拉斯的思想尊崇至極，認為這正是一個好機會，一個脫離帝國的支配、築建新的王國樂土的機會。這既不是重建後的蘭蒂斯共和國，也不是再生的達爾馬斯卡和博茲雅，而是一個嶄新的國家。<hex:02100103>許多士兵因帝國混亂不堪感到前途灰暗，行省市民則更為不安。尤恩布建議那些家屬留在本國的人，讓家屬離開帝國，集中到這裡。她還表示，一定要驅除那些因焦慮而想要投靠抵抗組織的人。<hex:02100103>尤恩布的這一想法與她的出身有很大關係。「珀提圖斯」這個姓名在帝國支配下的行省生活並取得市民權的貓魅族中很常見。實際上，尤恩布是個流浪街頭的孤兒，可她和其他自怨自艾的孩子不同，她夢想著有朝一日能取得市民權，成為行省市民。為此，學識是必不可少的，於是她每天都會潛入學校，偷看偷聽老師講課。功夫不負有心人，在尤恩布得到福利局救助時，因為她會讀書寫字，便被送至預備軍培訓所的中等教育機構。尤恩布在那裡接觸到伽布拉斯的思想並成為他忠實的信徒。她相信，敬畏伽布拉斯、為伽布拉斯而戰才是最利於國民們的選擇。<hex:02100103>尤恩布成為了治癒術師，每天都在戰場上為了幫助同伴們施展才能。<hex:02100103>"
16,19,0,1,69478,0,72619,72519,3,"米希亞·博特雅失","Misija Votyasch","29歲。魯加族。出生於博茲雅管區博茲雅堡壘。<hex:02100103>潛入博茲雅義軍的第四軍團的間諜。<hex:02100103><hex:02100103>在博茲雅堡壘的貧民窟出生長大。在帝國的政策和福利局的幫助下得到了上學的機會，學習非常刻苦。因為成績優秀，她作為特優生獲得了獎學金，並在最高學府修習了民俗學與史前學等學科。因此，她在博茲雅的歷史和民族文化方面造詣頗深。<hex:02100103><hex:02100103>為了復活鬪神天佑女王，向抵抗組織提議重現女王之刃的就是米希亞。她加入第四軍團，與抵抗組織為敵的原因有兩個。其中一個是博茲雅存在著根深蒂固的貧困問題。<hex:02100103><hex:02100103>在被帝國支配前，博茲雅是個小國，七成人民收入不足平均水平的一半，而生活在所謂的貧民窟的人甚至高達三分之一。原因很明顯，那就是統治階級的貴族和大商人佔據了大多數財產。被帝國支配後，這種狀態稍有緩和，但特別是在博茲雅堡壘這種大城市中，無家可歸的流浪漢和失去父母的孤兒依然隨處可見。<hex:02100103>米希亞就是這種誕生於貧困階層、在貧民窟長大的博茲雅人。小時候，她經常食不果腹，在垃圾堆中翻找可以賣掉的東西成了她每天的必修課。為了這些吃不飽穿不暖、沒有機會接受教育的極度貧窮的孤兒們，帝國設定了福利局，開始進行孤兒救助計劃。但是能享受到恩惠的兒童卻不足半數。<hex:02100103>米希亞有幸得到了上學的機會，並憑藉優秀的成績以特優生的身份進入了帝都的大學。但在博茲雅，「富人」將貧困階層視為社會的害蟲對待的情況屢見不鮮。米希亞不僅經常被當面辱罵，還受到過騷擾和折磨。不知不覺中，她已對富人恨之入骨。<hex:02100103>另外，米希亞是最後一任女王貢希爾德的後裔，知道女王悲慘的結局。<hex:02100103>因此，她因身為「窮人」和女王遇刺這兩點徹底失去了對博茲雅的信任，強烈地意識到自己不是這個社會的一員。<hex:02100103><hex:02100103>另一個原因，就是第四軍團的理念吸引了米希亞。伽布拉斯父子曾經公開聲明，他們對加入的士兵的衡量標準只有能力和忠心。無論是什麼出身、文化、宗教以及性別，只要是對第四軍團發誓效忠的有能之士，都可以得到平等的對待……這就是伽布拉斯父子的宗旨。<hex:02100103><hex:02100103>米希亞受到的心靈創傷如此之深，究竟有誰能阻止她呢……<hex:02100103>"
